"__fastGreedyCluster","Description","Enzyme.Names","GO.IDs","id","InterPro.GO.Names","InterPro.IDs","name","selected","shared name","species"
"2","hypothetical protein Mgra_00007625","","","g9504.pdb","no GO terms","mobidb-lite (MOBIDB_LITE)","g9504.pdb","false","g9504.pdb","Mchit"
"9","Tyrosinase_Cu-bd domain-containing protein","Oxidoreductases","P:GO:0042438; F:GO:0005507; F:GO:0016716","g949.pdb","P:melanin biosynthetic process; F:copper ion binding; F:oxidoreductase activity; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen","IPR002227 (PRINTS); IPR008922 (G3DSA:1.10.1280.GENE3D); IPR002227 (PFAM); IPR015559 (PTHR11474:PANTHER); PTHR11474 (PANTHER); IPR008922 (SUPERFAMILY)","g949.pdb","false","g949.pdb","Mchit"
"4","unnamed protein product","","C:GO:0016020; C:GO:0016021","g9493.pdb","no IPS match","no IPS match","g9493.pdb","false","g9493.pdb","Mchit"
"19","matrix metalloproteinase","","C:GO:0110165","g948.pdb","no GO terms","IPR036375 (G3DSA:2.110.10.GENE3D); IPR036375 (SUPERFAMILY)","g948.pdb","false","g948.pdb","Mchit"
"22","hypothetical protein Mgra_00003060","","C:GO:0016020; C:GO:0016021","g9461.pdb","no IPS match","no IPS match","g9461.pdb","false","g9461.pdb","Mchit"
"3","---NA---","","","g9433.pdb","no IPS match","no IPS match","g9433.pdb","false","g9433.pdb","Mchit"
"10","cathepsin L-like cysteine proteinase","Acting on peptide bonds (peptidases)","P:GO:0006508; F:GO:0004197","g9432.pdb","P:proteolysis; F:cysteine-type peptidase activity","IPR000668 (PRINTS); IPR013201 (PFAM); G3DSA:3.90.70.10 (GENE3D); IPR000668 (PFAM); PTHR12411 (PANTHER); PTHR12411:SF57 (PANTHER); IPR039417 (CDD); IPR038765 (SUPERFAMILY)","g9432.pdb","false","g9432.pdb","Mchit"
"3","unnamed protein product","","C:GO:0016021","g9424.pdb","no IPS match","no IPS match","g9424.pdb","false","g9424.pdb","Mchit"
"23","tissue inhibitor of metalloproteinase","","P:GO:0010951; F:GO:0005515; F:GO:0008191; C:GO:0005576","g9423.pdb","F:protein binding; F:metalloendopeptidase inhibitor activity","IPR001820 (PFAM); IPR008993 (G3DSA:2.40.50.GENE3D); IPR001134 (PROSITE_PROFILES); IPR008993 (SUPERFAMILY)","g9423.pdb","false","g9423.pdb","Mchit"
"14","Protein CBG20827","","C:GO:0005892","g9418.pdb","C:acetylcholine-gated channel complex","IPR033438 (PFAM); G3DSA:3.10.310.50 (GENE3D); PTHR33748:SF3 (PANTHER); PTHR33748 (PANTHER)","g9418.pdb","false","g9418.pdb","Mchit"
"24","Neurotransmitter-gated ion-channel ligand-binding domain-containing protein","Translocases","P:GO:0034220; F:GO:0004888; F:GO:0005230; C:GO:0016021","g9413.pdb","P:ion transport; P:ion transmembrane transport; F:transmembrane signaling receptor activity; F:ion channel activity; F:extracellular ligand-gated ion channel activity; C:integral component of membrane","IPR036734 (G3DSA:2.70.170.GENE3D); IPR006202 (PFAM); IPR006201 (PANTHER); PTHR18945:SF582 (PANTHER); IPR036734 (SUPERFAMILY)","g9413.pdb","false","g9413.pdb","Mchit"
"4","hypothetical protein Mgra_00006076","","","g9389.pdb","no IPS match","no IPS match","g9389.pdb","false","g9389.pdb","Mchit"
"2","unnamed protein product","","","g9388.pdb","no IPS match","no IPS match","g9388.pdb","false","g9388.pdb","Mchit"
"2","unnamed protein product","","","g9384.pdb","no IPS match","no IPS match","g9384.pdb","false","g9384.pdb","Mchit"
"25","acid phosphatase","","F:GO:0016491; C:GO:0016020; C:GO:0016021","g9379.pdb","no GO terms","IPR000560 (PFAM); IPR029033 (G3DSA:3.40.50.GENE3D); PTHR11567 (PANTHER); PTHR11567:SF191 (PANTHER); IPR000560 (CDD); IPR029033 (SUPERFAMILY)","g9379.pdb","false","g9379.pdb","Mchit"
"6","hypothetical protein Mgra_00006109","","","g9346.pdb","no IPS match","no IPS match","g9346.pdb","false","g9346.pdb","Mchit"
"3","hypothetical protein Mgra_00006114","","C:GO:0016020; C:GO:0016021","g9338.pdb","no GO terms","mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)","g9338.pdb","false","g9338.pdb","Mchit"
"9","Tyrosinase-like protein","Oxidoreductases","P:GO:0042438; F:GO:0005507; F:GO:0016716","g9314.pdb","P:melanin biosynthetic process; F:copper ion binding; F:oxidoreductase activity; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen","IPR002227 (PRINTS); IPR003582 (PFAM); IPR002227 (PFAM); IPR008922 (G3DSA:1.10.1280.GENE3D); PTHR11474 (PANTHER); IPR015559 (PTHR11474:PANTHER); IPR003582 (PROSITE_PROFILES); IPR003582 (PROSITE_PROFILES); IPR008922 (SUPERFAMILY)","g9314.pdb","false","g9314.pdb","Mchit"
"26","ribosomal protein L23","","C:GO:0005622; C:GO:0016021","g9313.pdb","no GO terms","IPR002018 (PFAM); IPR029058 (G3DSA:3.40.50.GENE3D); PTHR43903 (PANTHER); PTHR43903:SF9 (PANTHER); IPR029058 (SUPERFAMILY)","g9313.pdb","false","g9313.pdb","Mchit"
"2","Cathepsin Z","Acting on peptide bonds (peptidases)","P:GO:0051603; F:GO:0004197; C:GO:0005615; C:GO:0005764","g9300.pdb","P:proteolysis; F:cysteine-type peptidase activity","G3DSA:3.90.70.10 (GENE3D); IPR000668 (PFAM); PTHR12411:SF406 (PANTHER); PTHR12411 (PANTHER); PTHR12411 (PANTHER); IPR038765 (SUPERFAMILY)","g9300.pdb","false","g9300.pdb","Mchit"
"27","Sulfhydryl oxidase","Thiol oxidase","F:GO:0016971; C:GO:0110165","g9280.pdb","F:flavin-linked sulfhydryl oxidase activity; F:thiol oxidase activity","IPR017905 (PFAM); G3DSA:3.40.30.10 (GENE3D); IPR013766 (PFAM); IPR042568 (G3DSA:1.20.120.GENE3D); IPR036774 (G3DSA:1.20.120.GENE3D); G3DSA:3.40.30.10 (GENE3D); IPR039798 (PANTHER); PTHR22897:SF20 (PANTHER); IPR017905 (PROSITE_PROFILES); IPR013766 (PROSITE_PROFILES); IPR036249 (SUPERFAMILY); IPR036774 (SUPERFAMILY)","g9280.pdb","false","g9280.pdb","Mchit"
"2","hypothetical protein Mgra_00005270","","","g925.pdb","no GO terms","mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)","g925.pdb","false","g925.pdb","Mchit"
"9","Tyrosinase_Cu-bd domain-containing protein","Oxidoreductases","P:GO:0042438; F:GO:0005507; F:GO:0016716","g924.pdb","P:melanin biosynthetic process; F:copper ion binding; F:oxidoreductase activity; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen","IPR002227 (PRINTS); IPR008922 (G3DSA:1.10.1280.GENE3D); IPR002227 (PFAM); mobidb-lite (MOBIDB_LITE); PTHR11474 (PANTHER); IPR015559 (PTHR11474:PANTHER); IPR008922 (SUPERFAMILY)","g924.pdb","false","g924.pdb","Mchit"
"9","Tyrosinase_Cu-bd domain-containing protein","","P:GO:0042438; F:GO:0005507; F:GO:0016716","g923.pdb","P:melanin biosynthetic process; F:copper ion binding; F:oxidoreductase activity; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen","IPR002227 (PRINTS); IPR002227 (PFAM); IPR008922 (G3DSA:1.10.1280.GENE3D); mobidb-lite (MOBIDB_LITE); PTHR11474 (PANTHER); IPR015559 (PTHR11474:PANTHER); IPR008922 (SUPERFAMILY)","g923.pdb","false","g923.pdb","Mchit"
"28","laminin alpha 1 chain","","P:GO:0006897; P:GO:0007155; F:GO:0005044; C:GO:0005604; C:GO:0016021","g9235.pdb","no GO terms","IPR002049 (PFAM); IPR008211 (PFAM); G3DSA:2.170.300.10 (GENE3D); G3DSA:2.60.120.260 (GENE3D); G3DSA:2.10.25.10 (GENE3D); G3DSA:2.10.25.10 (GENE3D); PTHR10574:SF400 (PANTHER); PTHR10574 (PANTHER); PTHR10574 (PANTHER); PTHR10574:SF400 (PANTHER); IPR002049 (PROSITE_PROFILES); IPR002049 (PROSITE_PROFILES); IPR008211 (PROSITE_PROFILES); cd00055 (CDD); cd00055 (CDD); cd00055 (CDD); IPR008979 (SUPERFAMILY); SSF57196 (SUPERFAMILY); SSF57196 (SUPERFAMILY); SSF57196 (SUPERFAMILY); SSF57196 (SUPERFAMILY)","g9235.pdb","false","g9235.pdb","Mchit"
"9","Tyrosinase-like protein","Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2)","P:GO:0042438; F:GO:0005507; F:GO:0016716","g922.pdb","P:melanin biosynthetic process; F:copper ion binding; F:oxidoreductase activity; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen","IPR002227 (PRINTS); IPR002227 (PFAM); IPR008922 (G3DSA:1.10.1280.GENE3D); IPR003582 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); IPR015559 (PTHR11474:PANTHER); IPR015559 (PTHR11474:PANTHER); PTHR11474 (PANTHER); PTHR11474 (PANTHER); IPR003582 (PROSITE_PROFILES); IPR003582 (PROSITE_PROFILES); IPR003582 (PROSITE_PROFILES); IPR003582 (PROSITE_PROFILES); IPR008922 (SUPERFAMILY)","g922.pdb","false","g922.pdb","Mchit"
"29","serine protease persephone-like","Acting on peptide bonds (peptidases)","P:GO:0006508; F:GO:0004252","g9217.pdb","P:proteolysis; F:serine-type endopeptidase activity","IPR001314 (PRINTS); IPR001254 (PFAM); IPR043504 (G3DSA:2.40.10.GENE3D); PTHR24260 (PANTHER); PTHR24260:SF91 (PANTHER); IPR001254 (PROSITE_PROFILES); IPR009003 (SUPERFAMILY)","g9217.pdb","false","g9217.pdb","Mchit"
"2","unnamed protein product","","","g9210.pdb","no IPS match","no IPS match","g9210.pdb","false","g9210.pdb","Mchit"
"9","Tyrosinase_Cu-bd domain-containing protein","Oxidoreductases","P:GO:0042438; F:GO:0005507; F:GO:0016716","g920.pdb","P:melanin biosynthetic process; F:copper ion binding; F:oxidoreductase activity; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen","IPR002227 (PRINTS); IPR002227 (PFAM); IPR008922 (G3DSA:1.10.1280.GENE3D); PTHR11474 (PANTHER); IPR015559 (PTHR11474:PANTHER); IPR008922 (SUPERFAMILY)","g920.pdb","false","g920.pdb","Mchit"
"31","astacin-like metalloendopeptidase","Acting on peptide bonds (peptidases)","P:GO:0006508; F:GO:0004222; F:GO:0008270","g9208.pdb","P:proteolysis; F:metalloendopeptidase activity; F:metallopeptidase activity","IPR001506 (PRINTS); IPR001506 (PFAM); IPR024079 (G3DSA:3.40.390.GENE3D); PTHR10127 (PANTHER); PTHR10127:SF850 (PANTHER); IPR001506 (PROSITE_PROFILES); IPR034035 (CDD); SSF55486 (SUPERFAMILY)","g9208.pdb","false","g9208.pdb","Mchit"
"29","Peptidase S1 domain-containing protein","Acting on peptide bonds (peptidases)","P:GO:0006508; F:GO:0004252","g9207.pdb","P:proteolysis; F:serine-type endopeptidase activity","IPR001314 (PRINTS); IPR001254 (PFAM); IPR043504 (G3DSA:2.40.10.GENE3D); PTHR24260 (PANTHER); PTHR24260:SF115 (PANTHER); IPR001254 (PROSITE_PROFILES); IPR009003 (SUPERFAMILY)","g9207.pdb","false","g9207.pdb","Mchit"
"20","C-type lectin domain-containing protein","","F:GO:0030246","g9204.pdb","no GO terms","IPR016186 (G3DSA:3.10.100.GENE3D); IPR001304 (PFAM); PTHR22803:SF110 (PANTHER); PTHR22803 (PANTHER); IPR001304 (PROSITE_PROFILES); cd00037 (CDD); IPR016187 (SUPERFAMILY)","g9204.pdb","false","g9204.pdb","Mchit"
"9","Tyrosinase_Cu-bd domain-containing protein","Oxidoreductases","P:GO:0042438; F:GO:0005507; F:GO:0016716","g919.pdb","P:melanin biosynthetic process; F:copper ion binding; F:oxidoreductase activity; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen","IPR002227 (PRINTS); IPR002227 (PFAM); IPR008922 (G3DSA:1.10.1280.GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); IPR015559 (PTHR11474:PANTHER); PTHR11474 (PANTHER); IPR008922 (SUPERFAMILY)","g919.pdb","false","g919.pdb","Mchit"
"32","putative amphid protein","","","g9181.pdb","no GO terms","IPR003677 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)","g9181.pdb","false","g9181.pdb","Mchit"
"7","Protein H05C05.4","","C:GO:0016021","g9128.pdb","no GO terms","IPR022559 (PFAM); PTHR34149:SF3 (PANTHER); IPR022559 (PANTHER)","g9128.pdb","false","g9128.pdb","Mchit"
"33","glycoside hydrolase family 25 protein","Lysozyme","P:GO:0009253; P:GO:0016998; F:GO:0003796","g9107.pdb","P:peptidoglycan catabolic process; P:cell wall macromolecule catabolic process; F:lysozyme activity","IPR002053 (PFAM); G3DSA:3.20.20.80 (GENE3D); PTHR23208 (PANTHER); IPR002053 (PROSITE_PROFILES); cd06416 (CDD); IPR017853 (SUPERFAMILY)","g9107.pdb","false","g9107.pdb","Mchit"
"5","unnamed protein product","","","g9089.pdb","no IPS match","no IPS match","g9089.pdb","false","g9089.pdb","Mchit"
"32","DUF148 domain-containing protein","","","g9077.pdb","no GO terms","mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)","g9077.pdb","false","g9077.pdb","Mchit"
"5","hypothetical protein Mgra_00006314, partial","","","g9073.pdb","no IPS match","no IPS match","g9073.pdb","false","g9073.pdb","Mchit"
"5","unnamed protein product","","","g9042.pdb","no IPS match","no IPS match","g9042.pdb","false","g9042.pdb","Mchit"
"3","---NA---","","","g9013.pdb","no GO terms","mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PS51257 (PROSITE_PROFILES)","g9013.pdb","false","g9013.pdb","Mchit"
"5","hypothetical protein Mgra_00003717","","","g9003.pdb","no IPS match","no IPS match","g9003.pdb","false","g9003.pdb","Mchit"
"5","hypothetical protein Mgra_00003729","","","g8989.pdb","no GO terms","mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)","g8989.pdb","false","g8989.pdb","Mchit"
"5","hypothetical protein Mgra_00003732","","F:GO:0047631","g8983.pdb","no IPS match","no IPS match","g8983.pdb","false","g8983.pdb","Mchit"
"5","unnamed protein product","","C:GO:0016020","g8976.pdb","no IPS match","no IPS match","g8976.pdb","false","g8976.pdb","Mchit"
"34","unnamed protein product","Glycosyltransferases","F:GO:0008194","g8952.pdb","F:UDP-glycosyltransferase activity","IPR002213 (PFAM); G3DSA:3.40.50.2000 (GENE3D); PTHR48043 (PANTHER); IPR002213 (CDD); SSF53756 (SUPERFAMILY)","g8952.pdb","false","g8952.pdb","Mchit"
"6","---NA---","","","g8924.pdb","no IPS match","no IPS match","g8924.pdb","false","g8924.pdb","Mchit"
"20","unnamed protein product","","C:GO:0016020; C:GO:0016021","g8915.pdb","no GO terms","IPR001304 (PFAM); IPR016186 (G3DSA:3.10.100.GENE3D); IPR016186 (G3DSA:3.10.100.GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR22803:SF110 (PANTHER); PTHR22803 (PANTHER); IPR001304 (PROSITE_PROFILES); cd00037 (CDD); IPR016187 (SUPERFAMILY); IPR016187 (SUPERFAMILY)","g8915.pdb","false","g8915.pdb","Mchit"
"5","---NA---","","","g8907.pdb","no IPS match","no IPS match","g8907.pdb","false","g8907.pdb","Mchit"
"5","hypothetical protein Mgra_00008093","","","g8867.pdb","no IPS match","no IPS match","g8867.pdb","false","g8867.pdb","Mchit"
"2","---NA---","","","g8864.pdb","no IPS match","no IPS match","g8864.pdb","false","g8864.pdb","Mchit"
"20","unnamed protein product","","C:GO:0016020; C:GO:0016021","g8863.pdb","no GO terms","IPR016186 (G3DSA:3.10.100.GENE3D); IPR001304 (PFAM); IPR016186 (G3DSA:3.10.100.GENE3D); PTHR22803 (PANTHER); PTHR22803:SF124 (PANTHER); IPR001304 (PROSITE_PROFILES); cd00037 (CDD); IPR016187 (SUPERFAMILY); IPR016187 (SUPERFAMILY)","g8863.pdb","false","g8863.pdb","Mchit"
"20","hypothetical protein Mgra_00008091","","C:GO:0016020; C:GO:0016021","g8862.pdb","no GO terms","IPR001304 (PFAM); IPR016186 (G3DSA:3.10.100.GENE3D); IPR016186 (G3DSA:3.10.100.GENE3D); PTHR22802 (PANTHER); IPR001304 (PROSITE_PROFILES); IPR001304 (PROSITE_PROFILES); cd00037 (CDD); cd00037 (CDD); IPR016187 (SUPERFAMILY); IPR016187 (SUPERFAMILY)","g8862.pdb","false","g8862.pdb","Mchit"
"2","---NA---","","","g8854.pdb","no IPS match","no IPS match","g8854.pdb","false","g8854.pdb","Mchit"
"26","Carboxylic ester hydrolase","Carboxylesterase","F:GO:0052689","g8820.pdb","no GO terms","IPR002018 (PFAM); IPR029058 (G3DSA:3.40.50.GENE3D); PTHR11559:SF354 (PANTHER); PTHR11559 (PANTHER); IPR029058 (SUPERFAMILY)","g8820.pdb","false","g8820.pdb","Mchit"
