Gpal_ID	Uniprot_ID	Protein Name	 Gene Name	 Wormbase ref	Spec_A	Spec_B
Gpal_D383_g00009	C5VUJ8	Uncharacterized protein	CELE_Y105C5A.1270 Y105C5A.1270	Y105C5A.1270;	Gpal	Cele
Gpal_D383_g00009	C6KRN7	Uncharacterized protein	CELE_T05F1.15 T05F1.15	T05F1.15;	Gpal	Cele
Gpal_D383_g00009	D2Y8W4	Uncharacterized protein	C01B9.4 CELE_C01B9.4	C01B9.4;	Gpal	Cele
Gpal_D383_g00009	D6VP97	Uncharacterized protein	CELE_F13A2.10 F13A2.10	F13A2.10;	Gpal	Cele
Gpal_D383_g00009	D9N127	Uncharacterized protein	CELE_K08E5.6 K08E5.6	K08E5.6;	Gpal	Cele
Gpal_D383_g00009	D9N134	Uncharacterized protein	CELE_F15H10.12 F15H10.12	F15H10.12;	Gpal	Cele
Gpal_D383_g00009	E0AHB5	Uncharacterized protein	CELE_W02H3.3 W02H3.3	W02H3.3;	Gpal	Cele
Gpal_D383_g00009	E0AHE1	Uncharacterized protein	CELE_F09B12.7 F09B12.7	F09B12.7;	Gpal	Cele
Gpal_D383_g00009	E0R7K2	Uncharacterized protein	CELE_Y113G7B.27 Y113G7B.27	Y113G7B.27a;	Gpal	Cele
Gpal_D383_g00009	E4MVD0	Uncharacterized protein	C05E4.12 CELE_C05E4.12	C05E4.12;	Gpal	Cele
Gpal_D383_g00009	G3MTX9	Uncharacterized protein	CELE_R03D7.15 R03D7.15	R03D7.15;	Gpal	Cele
Gpal_D383_g00009	G3MU55	Uncharacterized protein	CELE_F53E4.2 F53E4.2	F53E4.2;	Gpal	Cele
Gpal_D383_g00009	G3MU63	Uncharacterized protein	CELE_F11A6.15 F11A6.15	F11A6.15a;	Gpal	Cele
Gpal_D383_g00009	G5EBK2	V-SNARE coiled-coil homology domain-containing protein	snb-7 CELE_ZK795.4 ZK795.4	ZK795.4;	Gpal	Cele
Gpal_D383_g00009	G5EC48	Nematode Specific Peptide family, group C	nspc-15 nspc-12 CELE_F42F12.10 CELE_F42F12.8 F42F12.10 F42F12.8	F42F12.10;F42F12.8;	Gpal	Cele
Gpal_D383_g00009	G5EC79	Nematode Specific Peptide family, group A	nspa-7 nspa-6 CELE_H12D21.14 CELE_H12D21.15 H12D21.14 H12D21.15	H12D21.14;H12D21.15;	Gpal	Cele
Gpal_D383_g00009	G5ED48	Uncharacterized protein	B0393.8 CELE_B0393.8 CELE_VB0393L.2 VB0393L.2	B0393.8;VB0393L.2;	Gpal	Cele
Gpal_D383_g00009	G5EDJ8	Nematode Specific Peptide family, group A	nspa-2 nspa-1 nspa-3 CELE_H12D21.1 CELE_H12D21.12 CELE_ZC412.7 H12D21.1 H12D21.12 ZC412.7	H12D21.1;H12D21.12;ZC412.7;	Gpal	Cele
Gpal_D383_g00009	G5EDP8	Nematode Specific Peptide family, group A	nspa-5 nspa-4 CELE_H12D21.13 CELE_ZC412.6 H12D21.13 ZC412.6	H12D21.13;ZC412.6;	Gpal	Cele
Gpal_D383_g00009	G5EEM2	C-type LECtin	clec-248 clec-249 CELE_Y51A2A.11 CELE_Y51A2A.7 Y51A2A.11 Y51A2A.7	Y51A2A.11;Y51A2A.7;	Gpal	Cele
Gpal_D383_g00009	G5EFL2	Cytochrome OXidase assembly protein	cox-14 CELE_T20G5.14 T20G5.14	T20G5.14;	Gpal	Cele
Gpal_D383_g00009	G5EGC6	PEEL-1	peel-1 CELE_Y39G10AR.25 Y39G10AR.25	Y39G10AR.25;	Gpal	Cele
Gpal_D383_g00009	G5EGT2	Uncharacterized protein	CELE_K10G4.15 CELE_K10G4.16 K10G4.15 K10G4.16	K10G4.15;K10G4.16;	Gpal	Cele
Gpal_D383_g00009	H2FLL5	Uncharacterized protein	CELE_H25P06.5 H25P06.5	H25P06.5;	Gpal	Cele
Gpal_D383_g00009	H2L268	Uncharacterized protein	CELE_F35H8.12 F35H8.12	F35H8.12;	Gpal	Cele
Gpal_D383_g00009	H8ESF2	Uncharacterized protein	CELE_Y7A5A.20 Y7A5A.20	Y7A5A.20;	Gpal	Cele
Gpal_D383_g00009	H8W3X3	Serpentine Receptor, class BC (Class B-like)	C03G5.14 CELE_C03G5.14	C03G5.14;	Gpal	Cele
Gpal_D383_g00009	H9G2S1	Uncharacterized protein	CELE_D1046.18 D1046.18	D1046.18;	Gpal	Cele
Gpal_D383_g00009	I2HA80	Uncharacterized protein	CELE_M199.134 M199.134	M199.134;	Gpal	Cele
Gpal_D383_g00009	I2HAB5	Uncharacterized protein	CELE_ZK822.9 ZK822.9	ZK822.9b;	Gpal	Cele
Gpal_D383_g00009	I2HAF2	Uncharacterized protein	CELE_ZK381.62 ZK381.62	ZK381.62;	Gpal	Cele
Gpal_D383_g00009	I2HAK8	Uncharacterized protein	C06H5.13 C06H5.14 CELE_C06H5.13 CELE_C06H5.14	C06H5.13;C06H5.14;	Gpal	Cele
Gpal_D383_g00009	I2HAL1	Uncharacterized protein	CELE_T19C4.24 T19C4.24	T19C4.24;	Gpal	Cele
Gpal_D383_g00009	J7SEY7	Uncharacterized protein	CELE_T06A10.106 T06A10.106	T06A10.106;	Gpal	Cele
Gpal_D383_g00009	N1NTK5	Uncharacterized protein	CELE_ZK792.12 ZK792.12	ZK792.12;	Gpal	Cele
Gpal_D383_g00009	O01540	Uncharacterized protein	CELE_F28H1.5 F28H1.5	F28H1.5;	Gpal	Cele
Gpal_D383_g00009	O01841	Uncharacterized protein	CELE_F56F4.4 F56F4.4	F56F4.4;	Gpal	Cele
Gpal_D383_g00009	O02495	Synaptobrevin-1 (Synaptobrevin-related protein 1)	snb-1 T10H9.4	T10H9.4;	Gpal	Cele
Gpal_D383_g00009	O16429	Uncharacterized protein	C02E7.8 CELE_C02E7.8	C02E7.8;	Gpal	Cele
Gpal_D383_g00009	O17115	Uncharacterized protein	CELE_F39E9.6 F39E9.6	F39E9.6;	Gpal	Cele
Gpal_D383_g00009	O17168	Uncharacterized protein	B0454.5 CELE_B0454.5	B0454.5;	Gpal	Cele
Gpal_D383_g00009	O17682	Uncharacterized protein	C49F5.3 CELE_C49F5.3	C49F5.3;	Gpal	Cele
Gpal_D383_g00009	O18686	Uncharacterized protein	CELE_F26E4.2 F26E4.2	F26E4.2;	Gpal	Cele
Gpal_D383_g00009	O44769	Endoplasmic reticulum-like protein	CELE_K04F10.3 K04F10.3	K04F10.3a;	Gpal	Cele
Gpal_D383_g00009	O44946	Uncharacterized protein	C17F3.1 CELE_C17F3.1	C17F3.1;	Gpal	Cele
Gpal_D383_g00009	O45253	Uncharacterized protein	C17H1.2 CELE_C17H1.2	C17H1.2;	Gpal	Cele
Gpal_D383_g00009	O45685	BLOC-1-related complex subunit 8 homolog	blos-9 K11B4.2	K11B4.2;	Gpal	Cele
Gpal_D383_g00009	O61740	Uncharacterized protein	B0205.5 CELE_B0205.5	B0205.5;	Gpal	Cele
Gpal_D383_g00009	P24886	NADH-ubiquinone oxidoreductase chain 4L (EC 7.1.1.2) (NADH dehydrogenase subunit 4L)	ndfl-4 nd4l MTCE.4	MTCE.4;	Gpal	Cele
Gpal_D383_g00009	P34351	Synaptobrevin-like protein 5	snb-5 C30A5.5	C30A5.5;	Gpal	Cele
Gpal_D383_g00009	P52554	Probable prefoldin subunit 6	pfd-6 F21C3.5	F21C3.5;	Gpal	Cele
Gpal_D383_g00009	Q09391	Uncharacterized protein F47D12.6	F47D12.6	F47D12.6;	Gpal	Cele
Gpal_D383_g00009	Q09410	Anaphase-promoting complex subunit emb-1 (Abnormal embryogenesis protein 1) (Anaphase-promoting complex subunit 16 homolog)	emb-1 apc-16 K10D2.4	K10D2.4;	Gpal	Cele
Gpal_D383_g00009	Q09984	Uncharacterized protein	CELE_F45E1.1 F45E1.1	F45E1.1;	Gpal	Cele
Gpal_D383_g00009	Q10012	Uncharacterized protein T19C3.6	T19C3.6	T19C3.6;	Gpal	Cele
Gpal_D383_g00009	Q10903	Uncharacterized protein	B0034.2 CELE_B0034.2	B0034.2;	Gpal	Cele
Gpal_D383_g00009	Q10957	Uncharacterized protein	B0336.12 CELE_B0336.12	B0336.12;	Gpal	Cele
Gpal_D383_g00009	Q17590	Uncharacterized protein	C02B4.3 CELE_C02B4.3	C02B4.3;	Gpal	Cele
Gpal_D383_g00009	Q18133	Uncharacterized protein	C24H10.3 CELE_C24H10.3	C24H10.3;	Gpal	Cele
Gpal_D383_g00009	Q18497	Uncharacterized protein	C36A4.10 CELE_C36A4.10	C36A4.10;	Gpal	Cele
Gpal_D383_g00009	Q18520	Uncharacterized protein	C39B10.5 CELE_C39B10.5	C39B10.5;	Gpal	Cele
Gpal_D383_g00009	Q19616	Transcellular chaperone signaling (X)cross tissue	txt-17 CELE_F20A1.10 F20A1.10	F20A1.10;	Gpal	Cele
Gpal_D383_g00009	Q19710	Uncharacterized protein	CELE_F22B5.6 F22B5.6	F22B5.6;	Gpal	Cele
Gpal_D383_g00009	Q19767	V-SNARE coiled-coil homology domain-containing protein	snb-2 CELE_F23H12.1 F23H12.1	F23H12.1;	Gpal	Cele
Gpal_D383_g00009	Q19967	Protein transport protein Sec61 subunit gamma	sec-61.G emo-1 oar-1 F32D8.6	F32D8.6;	Gpal	Cele
Gpal_D383_g00009	Q20231	Transmembrane protein 42	CELE_F40F8.3 F40F8.3	F40F8.3;	Gpal	Cele
Gpal_D383_g00009	Q20506	Uncharacterized protein	CELE_F47B10.6 F47B10.6	F47B10.6;	Gpal	Cele
Gpal_D383_g00009	Q20753	Uncharacterized protein	CELE_F54C9.3 F54C9.3	F54C9.3;	Gpal	Cele
Gpal_D383_g00009	Q21047	Col_cuticle_N domain-containing protein	CELE_F59F5.4 F59F5.4	F59F5.4;	Gpal	Cele
Gpal_D383_g00009	Q21509	RDD domain-containing protein	CELE_M04D8.4 M04D8.4	M04D8.4;	Gpal	Cele
Gpal_D383_g00009	Q21510	Serpentine Receptor, class H	CELE_M04D8.5 M04D8.5	M04D8.5;	Gpal	Cele
Gpal_D383_g00009	Q21699	Uncharacterized protein	CELE_R04B5.1 R04B5.1	R04B5.1;	Gpal	Cele
Gpal_D383_g00009	Q21737	Transmembrane protein 208	tmem-208 CELE_R05D11.5 R05D11.5	R05D11.5;	Gpal	Cele
Gpal_D383_g00009	Q21898	V-type proton ATPase 16 kDa proteolipid subunit c 1 (V-ATPase 16 kDa proteolipid subunit c 1) (Vacuolar proton pump 16 kDa proteolipid subunit c 1)	vha-1 R10E11.8	R10E11.8;	Gpal	Cele
Gpal_D383_g00009	Q22653	Uncharacterized protein	CELE_T21E8.4 T21E8.4	T21E8.4;	Gpal	Cele
Gpal_D383_g00009	Q22654	Uncharacterized protein	CELE_T21E8.5 T21E8.5	T21E8.5;	Gpal	Cele
Gpal_D383_g00009	Q22759	NR LBD domain-containing protein	CELE_T25B6.4 T25B6.4	T25B6.4;	Gpal	Cele
Gpal_D383_g00009	Q22760	Uncharacterized protein	CELE_T25B6.5 T25B6.5	T25B6.5;	Gpal	Cele
Gpal_D383_g00009	Q22761	Uncharacterized protein	CELE_T25B6.6 T25B6.6	T25B6.6;	Gpal	Cele
Gpal_D383_g00009	Q22948	Uncharacterized protein	CELE_F08F3.8 F08F3.8	F08F3.8;	Gpal	Cele
Gpal_D383_g00009	Q23329	Uncharacterized protein	CELE_ZC449.4 ZC449.4	ZC449.4;	Gpal	Cele
Gpal_D383_g00009	Q23481	TMEM (Human TransMEMbrane protein) homolog	tmem-17 CELE_ZK418.3 ZK418.3	ZK418.3;	Gpal	Cele
Gpal_D383_g00009	Q27GU5	Uncharacterized protein	C32D5.14 CELE_C32D5.14	C32D5.14;	Gpal	Cele
Gpal_D383_g00009	Q2A955	TMEM (Human TransMEMbrane protein) homolog	tmem-218 CELE_T23E7.5 T23E7.5	T23E7.5;	Gpal	Cele
Gpal_D383_g00009	Q2L6X2	Uncharacterized protein	CELE_R02E4.3 R02E4.3	R02E4.3;	Gpal	Cele
Gpal_D383_g00009	Q2PJ80	Uncharacterized protein	CELE_M02B7.7 M02B7.7	M02B7.7;	Gpal	Cele
Gpal_D383_g00009	Q4PIX2	Uncharacterized protein	CELE_R12B2.8 R12B2.8	R12B2.8;	Gpal	Cele
Gpal_D383_g00009	Q4R113	Uncharacterized protein	CELE_F56D6.13 F56D6.13	F56D6.13;	Gpal	Cele
Gpal_D383_g00009	Q4R132	Uncharacterized protein	CELE_T11F8.5 T11F8.5	T11F8.5;	Gpal	Cele
Gpal_D383_g00009	Q4R134	Uncharacterized protein	C44B12.9 CELE_C44B12.9	C44B12.9;	Gpal	Cele
Gpal_D383_g00009	Q4R164	Uncharacterized protein	CELE_Y54G2A.48 Y54G2A.48	Y54G2A.48;	Gpal	Cele
Gpal_D383_g00009	Q4R169	Uncharacterized protein	CELE_Y54G2A.41 Y54G2A.41	Y54G2A.41;	Gpal	Cele
Gpal_D383_g00009	Q4W512	Uncharacterized protein	C41H7.9 CELE_C41H7.9	C41H7.9;	Gpal	Cele
Gpal_D383_g00009	Q4W519	Serpentine receptor class gamma	CELE_K10G6.5 K10G6.5	K10G6.5;	Gpal	Cele
Gpal_D383_g00009	Q564V9	Uncharacterized protein	CELE_F36H2.4 F36H2.4	F36H2.4;	Gpal	Cele
Gpal_D383_g00009	Q565B5	Uncharacterized protein	C33D9.10 CELE_C33D9.10	C33D9.10;	Gpal	Cele
Gpal_D383_g00009	Q565B9	Uncharacterized protein	CELE_W04G3.11 W04G3.11	W04G3.11;	Gpal	Cele
Gpal_D383_g00009	Q56VX6	Uncharacterized protein	CELE_Y73F8A.36 Y73F8A.36	Y73F8A.36;	Gpal	Cele
Gpal_D383_g00009	Q56VY1	Nematode Specific Peptide family, group A	nspa-10 CELE_Y50E8A.17 Y50E8A.17	Y50E8A.17;	Gpal	Cele
Gpal_D383_g00009	Q56VZ6	Uncharacterized protein	CELE_Y66C5A.1 Y66C5A.1	Y66C5A.1;	Gpal	Cele
Gpal_D383_g00009	Q5F4U5	Sjogren's Syndrome Nuclear Autoantigen	ssna-1 tag-261 CELE_T07A9.13 T07A9.13	T07A9.13b;	Gpal	Cele
Gpal_D383_g00009	Q6BEV3	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4	ostf-4 CELE_T07A5.5 T07A5.5	T07A5.5;	Gpal	Cele
Gpal_D383_g00009	Q7YTH2	Uncharacterized protein	CELE_ZK512.10 ZK512.10	ZK512.10;	Gpal	Cele
Gpal_D383_g00009	Q7YTK3	Uncharacterized protein	CELE_R09H10.7 R09H10.7	R09H10.7;	Gpal	Cele
Gpal_D383_g00009	Q7YTK8	Uncharacterized protein	CELE_T09A5.14 T09A5.14	T09A5.14;	Gpal	Cele
Gpal_D383_g00009	Q7YTP0	Vesicle transport protein	CELE_F27D4.7 F27D4.7	F27D4.7;	Gpal	Cele
Gpal_D383_g00009	Q7YTP7	Uncharacterized protein	C51E3.10 CELE_C51E3.10	C51E3.10a;	Gpal	Cele
Gpal_D383_g00009	Q7YWS9	BHLH domain-containing protein	hlh-32 CELE_Y105C5B.29 Y105C5B.29	Y105C5B.29;	Gpal	Cele
Gpal_D383_g00009	Q7YX22	Uncharacterized protein	CELE_F34H10.5 F34H10.5	F34H10.5;	Gpal	Cele
Gpal_D383_g00009	Q7YX96	Uncharacterized protein	C08F8.9 CELE_C08F8.9	C08F8.9;	Gpal	Cele
Gpal_D383_g00009	Q8I4K7	FIP (Fungus-Induced Protein) Related	fipr-3 CELE_F23D12.6 F23D12.6	F23D12.6;	Gpal	Cele
Gpal_D383_g00009	Q8T3C3	Uncharacterized protein	CELE_T25G12.11 T25G12.11	T25G12.11;	Gpal	Cele
Gpal_D383_g00009	Q8TA52	Intraflagellar transport protein 20 homolog	ift-20 Y110A7A.20	Y110A7A.20;	Gpal	Cele
Gpal_D383_g00009	Q94057	V-SNARE coiled-coil homology domain-containing protein	snb-6 CELE_T14D7.3 T14D7.3	T14D7.3;	Gpal	Cele
Gpal_D383_g00009	Q94274	Serpentine Receptor, class BC (Class B-like)	CELE_K10C2.6 K10C2.6	K10C2.6;	Gpal	Cele
Gpal_D383_g00009	Q95QY0	Uncharacterized protein	C04G6.11 CELE_C04G6.11	C04G6.11;	Gpal	Cele
Gpal_D383_g00009	Q95Y14	Uncharacterized protein	CELE_Y41D4B.14 Y41D4B.14	Y41D4B.14;	Gpal	Cele
Gpal_D383_g00009	Q95YE4	Serpentine Receptor, class XA	srxa-5 C09E7.1 CELE_C09E7.1	C09E7.1;	Gpal	Cele
Gpal_D383_g00009	Q967F0	Secreted protein	CELE_K10C2.7 K10C2.7	K10C2.7;	Gpal	Cele
Gpal_D383_g00009	Q9BKU8	Modifier of protein aggregation 4 (Small EDRK-rich factor) (SERF)	moag-4 Y37E3.4	Y37E3.4;	Gpal	Cele
Gpal_D383_g00009	Q9BL63	Uncharacterized protein	CELE_Y65B4A.4 Y65B4A.4	Y65B4A.4;	Gpal	Cele
Gpal_D383_g00009	Q9BLC2	Uncharacterized protein	CELE_F12E12.6 F12E12.6	F12E12.6;	Gpal	Cele
Gpal_D383_g00009	Q9GP92	Uncharacterized protein	CELE_T04C9.3 T04C9.3	T04C9.3;	Gpal	Cele
Gpal_D383_g00009	Q9GYF7	NR LBD domain-containing protein	nhr-249 CELE_ZK381.3 ZK381.3	ZK381.3;	Gpal	Cele
Gpal_D383_g00009	Q9N408	Mitochondrial import inner membrane translocase subunit Tim8	ddp-1 tim-8 Y39A3CR.4	Y39A3CR.4;	Gpal	Cele
Gpal_D383_g00009	Q9N556	Uncharacterized protein	CELE_Y24D9A.6 Y24D9A.6	Y24D9A.6;	Gpal	Cele
Gpal_D383_g00009	Q9N564	Uncharacterized protein	CELE_Y23B4A.1 Y23B4A.1	Y23B4A.1;	Gpal	Cele
Gpal_D383_g00009	Q9NF10	Uncharacterized protein	CELE_Y105E8B.6 Y105E8B.6	Y105E8B.6;	Gpal	Cele
Gpal_D383_g00009	Q9TXM4	Uncharacterized protein	CELE_F52D2.5 F52D2.5	F52D2.5;	Gpal	Cele
Gpal_D383_g00009	Q9TY06	Uncharacterized protein	ced-13 CELE_R09F10.9 R09F10.9	R09F10.9;	Gpal	Cele
Gpal_D383_g00009	Q9TYJ3	Uncharacterized protein	CELE_Y49F6C.8 Y49F6C.8	Y49F6C.8;	Gpal	Cele
Gpal_D383_g00009	Q9TYV4	Uncharacterized protein	CELE_W07E6.5 W07E6.5	W07E6.5a;	Gpal	Cele
Gpal_D383_g00009	Q9TZA2	Uncharacterized protein	CELE_E02H9.6 CELE_W04B5.6 E02H9.6 W04B5.6	E02H9.6;W04B5.6;	Gpal	Cele
Gpal_D383_g00009	Q9TZE0	MICOS complex subunit MIC13	CELE_W04C9.2 W04C9.2	W04C9.2;	Gpal	Cele
Gpal_D383_g00009	Q9U3C2	Uncharacterized protein	CELE_K03H1.9 K03H1.9	K03H1.9;	Gpal	Cele
Gpal_D383_g00009	Q9U5B6	Uncharacterized protein	CELE_F43C11.10 F43C11.10	F43C11.10;	Gpal	Cele
Gpal_D383_g00009	Q9XU21	Uncharacterized protein	CELE_H03G16.5 H03G16.5	H03G16.5;	Gpal	Cele
Gpal_D383_g00009	Q9XV54	Uncharacterized protein	CELE_F26F2.5 F26F2.5	F26F2.5;	Gpal	Cele
Gpal_D383_g00009	Q9XVE2	Uncharacterized protein	C14A6.3 CELE_C14A6.3	C14A6.3;	Gpal	Cele
Gpal_D383_g00009	Q9XVG6	Uncharacterized protein	CELE_W02D9.9 W02D9.9	W02D9.9;	Gpal	Cele
Gpal_D383_g00009	Q9XXT3	Uncharacterized protein	CELE_F57E7.1 F57E7.1	F57E7.1a;	Gpal	Cele
Gpal_D383_g00009	U4PBT2	Uncharacterized protein	CELE_F49F1.2 F49F1.2	F49F1.2;	Gpal	Cele
Gpal_D383_g00009	U4PBY8	Uncharacterized protein	C07C7.3 CELE_C07C7.3	C07C7.3;	Gpal	Cele
Gpal_D383_g00009	U4PET7	Uncharacterized protein	CELE_Y50D4A.10 Y50D4A.10	Y50D4A.10;	Gpal	Cele
Gpal_D383_g00009	U4PMR9	Uncharacterized protein	CELE_F22F7.11 F22F7.11	F22F7.11;	Gpal	Cele
Gpal_D383_g00009	U4PN02	Uncharacterized protein	CELE_F56D6.23 F56D6.23	F56D6.23;	Gpal	Cele
Gpal_D383_g00009	U4PRZ3	Uncharacterized protein	CELE_Y73B6BL.289 Y73B6BL.289	Y73B6BL.289;	Gpal	Cele
Gpal_D383_g00009	V6CLC5	Uncharacterized protein	CELE_D2024.18 D2024.18	D2024.18;	Gpal	Cele
Gpal_D383_g00043	A0A078BS77	Uncharacterized protein	C07H6.9 CELE_C07H6.9	C07H6.9b;	Gpal	Cele
Gpal_D383_g00043	A0A5S9MMR3	Uncharacterized protein	CELE_Y80D4G.2 Y80D4G.2	Y80D4G.2;	Gpal	Cele
Gpal_D383_g00043	C0Z1Y7	Yeast SEC homolog	sec-20 CELE_F40G9.1 F40G9.1	F40G9.1;	Gpal	Cele
Gpal_D383_g00043	D1YSI0	Uncharacterized protein	CELE_Y39H10B.3 Y39H10B.3	Y39H10B.3;	Gpal	Cele
Gpal_D383_g00043	H2FLI5	Uncharacterized protein	C17E4.19 CELE_C17E4.19	C17E4.19;	Gpal	Cele
Gpal_D383_g00043	H2L068	MARVEL domain-containing protein	CELE_F56C11.5 F56C11.5	F56C11.5a;	Gpal	Cele
Gpal_D383_g00043	O17783	Uncharacterized protein	CELE_F11A5.13 F11A5.13	F11A5.13;	Gpal	Cele
Gpal_D383_g00043	O18230	t-SNARE coiled-coil homology domain-containing protein	vti-1 CELE_Y57G11C.4 Y57G11C.4	Y57G11C.4;	Gpal	Cele
Gpal_D383_g00043	O44158	VPS37 C-terminal domain-containing protein	vps-37 CD4.4 CELE_CD4.4	CD4.4;	Gpal	Cele
Gpal_D383_g00043	P41941	Golgi SNAP receptor complex member 2 homolog memb-1	memb-1 gosr-2.1 B0272.2	B0272.2;	Gpal	Cele
Gpal_D383_g00043	P52554	Probable prefoldin subunit 6	pfd-6 F21C3.5	F21C3.5;	Gpal	Cele
Gpal_D383_g00043	P52883	Uncharacterized protein F46C5.7	F46C5.7	F46C5.7;	Gpal	Cele
Gpal_D383_g00043	P91409	Putative syntaxin-4	syx-4 syn-4 T01B11.3	T01B11.3;	Gpal	Cele
Gpal_D383_g00043	Q18012	Bublin coiled-coil protein	bbln-1 C15C7.5 CELE_C15C7.5	C15C7.5;	Gpal	Cele
Gpal_D383_g00043	Q18304	Uncharacterized protein	C29F4.3 CELE_C29F4.3	C29F4.3;	Gpal	Cele
Gpal_D383_g00043	Q19670	Uncharacterized protein	CELE_F21C3.6 F21C3.6	F21C3.6;	Gpal	Cele
Gpal_D383_g00043	Q20064	Uncharacterized protein	CELE_F35G2.3 F35G2.3	F35G2.3;	Gpal	Cele
Gpal_D383_g00043	Q20940	RING-type domain-containing protein	CELE_F57C12.2 F57C12.2	F57C12.2;	Gpal	Cele
Gpal_D383_g00043	Q21509	RDD domain-containing protein	CELE_M04D8.4 M04D8.4	M04D8.4;	Gpal	Cele
Gpal_D383_g00043	Q22154	Uncharacterized protein	CELE_T04C10.3 T04C10.3	T04C10.3;	Gpal	Cele
Gpal_D383_g00043	Q22616	Biogenesis of lysosome-related organelles complex 1 subunit 1 (BLOC-1 subunit 1)	blos-1 T20G5.10	T20G5.10;	Gpal	Cele
Gpal_D383_g00043	Q23199	Uncharacterized protein	CELE_W06D11.5 W06D11.5	W06D11.5;	Gpal	Cele
Gpal_D383_g00043	Q23679	Mediator of RNA polymerase II transcription subunit 22 (Mediator complex subunit 22)	mdt-22 ZK970.3	ZK970.3;	Gpal	Cele
Gpal_D383_g00043	Q4PIW9	Uncharacterized protein	C45G9.14 CELE_C45G9.14	C45G9.14;	Gpal	Cele
Gpal_D383_g00043	Q7YWP8	BAR domain-containing protein	CELE_Y47D3A.31 Y47D3A.31	Y47D3A.31;	Gpal	Cele
Gpal_D383_g00043	Q8I4L5	MARVEL domain-containing protein	CELE_F13D12.10 F13D12.10	F13D12.10a;	Gpal	Cele
Gpal_D383_g00043	Q8MQ01	Uncharacterized protein	CELE_R03G5.6 R03G5.6	R03G5.6;	Gpal	Cele
Gpal_D383_g00043	Q95ZW1	Golgi SNAP receptor complex member 1 (28 kDa Golgi SNARE protein) (GOS-28)	gos-28 gosr-1 gs28 F08F8.8	F08F8.8;	Gpal	Cele
Gpal_D383_g00043	Q9N402	Uncharacterized protein	CELE_Y39G10AL.1 Y39G10AL.1	Y39G10AL.1a;	Gpal	Cele
