From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	WormBase
A0A0K3ATT8	A0A0K3ATT8	unreviewed	A0A0K3ATT8_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	dmsr-4 CELE_D1069.4 D1069.4	Caenorhabditis elegans	386	D1069.4b;
A0A0K3AUY5	A0A0K3AUY5	unreviewed	A0A0K3AUY5_CAEEL	Uncharacterized protein	CELE_F59A7.14 F59A7.14	Caenorhabditis elegans	69	F59A7.14;
A0A0K3AUZ8	A0A0K3AUZ8	unreviewed	A0A0K3AUZ8_CAEEL	Uncharacterized protein	C06A12.19 CELE_C06A12.19	Caenorhabditis elegans	85	C06A12.19;
A0A0K3AVG3	A0A0K3AVG3	unreviewed	A0A0K3AVG3_CAEEL	Seven TM Receptor	CELE_F22F7.12 F22F7.12	Caenorhabditis elegans	147	F22F7.12;
A0A0K3AVS5	A0A0K3AVS5	unreviewed	A0A0K3AVS5_CAEEL	Uncharacterized protein	CELE_M02H5.8 M02H5.8	Caenorhabditis elegans	90	M02H5.8a;
A0A0K3AWH0	A0A0K3AWH0	unreviewed	A0A0K3AWH0_CAEEL	Uncharacterized protein	CELE_Y102A11A.9 Y102A11A.9	Caenorhabditis elegans	468	Y102A11A.9a;
A0A0K3AX60	A0A0K3AX60	unreviewed	A0A0K3AX60_CAEEL	Uncharacterized protein	CELE_F48E8.8 F48E8.8	Caenorhabditis elegans	210	F48E8.8b;
A0A0K3AXB5	A0A0K3AXB5	unreviewed	A0A0K3AXB5_CAEEL	Uncharacterized protein	CELE_ZK353.10 ZK353.10	Caenorhabditis elegans	93	ZK353.10b;
A0A0K3AXD3	A0A0K3AXD3	unreviewed	A0A0K3AXD3_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	npr-26 CELE_T02D1.6 T02D1.6	Caenorhabditis elegans	461	T02D1.6a;
A0A0K3AXG8	A0A0K3AXG8	unreviewed	A0A0K3AXG8_CAEEL	Serpentine Receptor, class R	srr-1 CELE_W07G4.6 W07G4.6	Caenorhabditis elegans	411	W07G4.6b;
A0A0K3AXT4	A0A0K3AXT4	unreviewed	A0A0K3AXT4_CAEEL	Serpentine Receptor, class T	srt-17 CELE_F48G7.6 F48G7.6	Caenorhabditis elegans	334	F48G7.6a;
A0A0K3AXZ4	A0A0K3AXZ4	unreviewed	A0A0K3AXZ4_CAEEL	TWiK family of potassium channels	twk-10 CELE_K04A8.4 K04A8.4	Caenorhabditis elegans	429	K04A8.4a;
A0A0K3AYA6	A0A0K3AYA6	unreviewed	A0A0K3AYA6_CAEEL	Uncharacterized protein	CELE_Y46H3A.4 Y46H3A.4	Caenorhabditis elegans	72	Y46H3A.4a;
A0A0K3AYD9	A0A0K3AYD9	unreviewed	A0A0K3AYD9_CAEEL	Seven TM Receptor	str-16 CELE_Y73C8A.1 Y73C8A.1	Caenorhabditis elegans	330	Y73C8A.1b;
A0A0M6VD42	A0A0M6VD42	unreviewed	A0A0M6VD42_CAEEL	Serpentine Receptor, class W	srw-135 CELE_K12D9.11 K12D9.11	Caenorhabditis elegans	74	K12D9.11;
A0A0M6VDE6	A0A0M6VDE6	unreviewed	A0A0M6VDE6_CAEEL	Serpentine Receptor, class H	srh-85 C44C3.8 CELE_C44C3.8	Caenorhabditis elegans	286	C44C3.8;
A0A0M7RED5	A0A0M7RED5	unreviewed	A0A0M7RED5_CAEEL	Uncharacterized protein	CELE_W02H5.11 W02H5.11	Caenorhabditis elegans	347	W02H5.11a;
A0A0M7RFA1	A0A0M7RFA1	unreviewed	A0A0M7RFA1_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	CELE_F54E2.9 F54E2.9	Caenorhabditis elegans	331	F54E2.9;
A0A0M9JJ66	A0A0M9JJ66	unreviewed	A0A0M9JJ66_CAEEL	Serpentine Receptor, class U	C45H4.18 CELE_C45H4.18	Caenorhabditis elegans	325	C45H4.18a;
A0A0M9JJ71	A0A0M9JJ71	unreviewed	A0A0M9JJ71_CAEEL	MFS domain-containing protein	CELE_F56A4.10 F56A4.10	Caenorhabditis elegans	470	F56A4.10a;
A0A0M9JJ79	A0A0M9JJ79	unreviewed	A0A0M9JJ79_CAEEL	Serpentine Receptor, class J	srj-18 CELE_R05D8.2 R05D8.2	Caenorhabditis elegans	335	R05D8.2b;
A0A0M9JJ95	A0A0M9JJ95	unreviewed	A0A0M9JJ95_CAEEL	MFS domain-containing protein	CELE_F56A4.12 CELE_Y19D10A.11 F56A4.12 Y19D10A.11	Caenorhabditis elegans	465	F56A4.12a;Y19D10A.11a;
A0A0S4XR61	A0A0S4XR61	unreviewed	A0A0S4XR61_CAEEL	Uncharacterized protein	C49F5.13 CELE_C49F5.13	Caenorhabditis elegans	25	C49F5.13;
A0A0S4XRJ7	A0A0S4XRJ7	unreviewed	A0A0S4XRJ7_CAEEL	DUF19 domain-containing protein	C17B7.15 CELE_C17B7.15	Caenorhabditis elegans	200	C17B7.15;
A0A131MBH4	A0A131MBH4	unreviewed	A0A131MBH4_CAEEL	Uncharacterized protein	CELE_F59H6.15 F59H6.15	Caenorhabditis elegans	104	F59H6.15;
A0A131MBN9	A0A131MBN9	unreviewed	A0A131MBN9_CAEEL	Uncharacterized protein	CELE_F41F3.9 F41F3.9	Caenorhabditis elegans	88	F41F3.9;
A0A131MBP5	A0A131MBP5	unreviewed	A0A131MBP5_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	dmsr-14 CELE_T15B7.11 T15B7.11	Caenorhabditis elegans	353	T15B7.11a;
A0A131MBU5	A0A131MBU5	unreviewed	A0A131MBU5_CAEEL	Seven TM Receptor	str-10 CELE_R03G8.5 R03G8.5	Caenorhabditis elegans	347	R03G8.5a;
A0A131MCH9	A0A131MCH9	unreviewed	A0A131MCH9_CAEEL	OToPetrin-Like	otpl-2 CELE_D1065.1 D1065.1	Caenorhabditis elegans	576	D1065.1a;
A0A131MCJ0	A0A131MCJ0	unreviewed	A0A131MCJ0_CAEEL	Uncharacterized protein	CELE_F27B10.1 F27B10.1	Caenorhabditis elegans	101	F27B10.1b;
A0A131MCN1	A0A131MCN1	unreviewed	A0A131MCN1_CAEEL	Uncharacterized protein	CELE_F45C12.17 F45C12.17	Caenorhabditis elegans	224	F45C12.17;
A0A131MCZ4	A0A131MCZ4	unreviewed	A0A131MCZ4_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	frpr-4 C54A12.2 CELE_C54A12.2	Caenorhabditis elegans	362	C54A12.2b;
A0A131MD88	A0A131MD88	unreviewed	A0A131MD88_CAEEL	Uncharacterized protein	CELE_F54F7.14 F54F7.14	Caenorhabditis elegans	139	F54F7.14;
A0A163UTI8	A0A163UTI8	unreviewed	A0A163UTI8_CAEEL	Vomeronasal type-1 receptor	CELE_K09D9.14 K09D9.14	Caenorhabditis elegans	286	K09D9.14;
A0A163VUD3	A0A163VUD3	unreviewed	A0A163VUD3_CAEEL	Serpentine Receptor, class Z	CELE_ZC132.11 ZC132.11	Caenorhabditis elegans	304	ZC132.11;
A0A164D3H4	A0A164D3H4	unreviewed	A0A164D3H4_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	str-114 CELE_F59B1.1 F59B1.1	Caenorhabditis elegans	351	F59B1.1b;
A0A164D3I7	A0A164D3I7	unreviewed	A0A164D3I7_CAEEL	Uncharacterized protein	CELE_H43I07.4 H43I07.4	Caenorhabditis elegans	53	H43I07.4;
A0A168H214	A0A168H214	unreviewed	A0A168H214_CAEEL	Uncharacterized protein	CELE_T16A1.10 T16A1.10	Caenorhabditis elegans	56	T16A1.10;
A0A168H2J4	A0A168H2J4	unreviewed	A0A168H2J4_CAEEL	Uncharacterized protein	CELE_T16G12.12 T16G12.12	Caenorhabditis elegans	151	T16G12.12;
A0A1C3NSK0	A0A1C3NSK0	unreviewed	A0A1C3NSK0_CAEEL	Uncharacterized protein	CELE_T28D9.16 T28D9.16	Caenorhabditis elegans	275	T28D9.16;
A0A1D3PCP8	A0A1D3PCP8	unreviewed	A0A1D3PCP8_CAEEL	Uncharacterized protein	CELE_H40L08.7 H40L08.7	Caenorhabditis elegans	59	H40L08.7;
A0A1D3PD11	A0A1D3PD11	unreviewed	A0A1D3PD11_CAEEL	Uncharacterized protein	CELE_Y70G10A.4 Y70G10A.4	Caenorhabditis elegans	79	Y70G10A.4;
A0A1I6CM88	A0A1I6CM88	unreviewed	A0A1I6CM88_CAEEL	Protein containing ALS2cr12 (ALS2CR12) signature	pals-19 CELE_Y82E9BR.23 Y82E9BR.23	Caenorhabditis elegans	265	Y82E9BR.23b;
A0A1I6CM99	A0A1I6CM99	unreviewed	A0A1I6CM99_CAEEL	Uncharacterized protein	CELE_H06H21.37 H06H21.37	Caenorhabditis elegans	111	H06H21.37;
A0A1N7SYR5	A0A1N7SYR5	unreviewed	A0A1N7SYR5_CAEEL	Serpentine receptor class gamma	C12D8.13 CELE_C12D8.13	Caenorhabditis elegans	244	C12D8.13b;
A0A1N7SYS3	A0A1N7SYS3	reviewed	COX16_CAEEL	Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial	cox-16 C24G6.13	Caenorhabditis elegans	115	C24G6.13a;
A0A1N7SYY6	A0A1N7SYY6	unreviewed	A0A1N7SYY6_CAEEL	Activin_recp domain-containing protein	CELE_T04H1.12 T04H1.12	Caenorhabditis elegans	120	T04H1.12;
A0A1N7SZG0	A0A1N7SZG0	unreviewed	A0A1N7SZG0_CAEEL	Uncharacterized protein	CELE_T04C12.33 T04C12.33	Caenorhabditis elegans	185	T04C12.33;
A0A1T5HUX0	A0A1T5HUX0	unreviewed	A0A1T5HUX0_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	B0244.16 CELE_B0244.16	Caenorhabditis elegans	360	B0244.16;
A0A1X7RBL2	A0A1X7RBL2	unreviewed	A0A1X7RBL2_CAEEL	Uncharacterized protein	CELE_Y51H7C.41 Y51H7C.41	Caenorhabditis elegans	77	Y51H7C.41;
A0A1X7RBN0	A0A1X7RBN0	unreviewed	A0A1X7RBN0_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	B0244.17 CELE_B0244.17	Caenorhabditis elegans	352	B0244.17;
A0A1X7RBT7	A0A1X7RBT7	unreviewed	A0A1X7RBT7_CAEEL	Sugar transporter SWEET	swt-4 CELE_Y39A1A.8 Y39A1A.8	Caenorhabditis elegans	243	Y39A1A.8b;
A0A2C9C2I3	A0A2C9C2I3	unreviewed	A0A2C9C2I3_CAEEL	Col_cuticle_N domain-containing protein	CELE_F53G12.18 F53G12.18	Caenorhabditis elegans	73	F53G12.18;
A0A2C9C2L6	A0A2C9C2L6	unreviewed	A0A2C9C2L6_CAEEL	IFT (Chlamydomonas IntraFlagellar Transport) homolog	ift-74 C18H9.8 CELE_C18H9.8	Caenorhabditis elegans	624	C18H9.8a;
A0A2C9C2M9	A0A2C9C2M9	unreviewed	A0A2C9C2M9_CAEEL	Uncharacterized protein	C35E7.12 CELE_C35E7.12	Caenorhabditis elegans	41	C35E7.12;
A0A2C9C2N5	A0A2C9C2N5	unreviewed	A0A2C9C2N5_CAEEL	Uncharacterized protein	CELE_F11G11.15 F11G11.15	Caenorhabditis elegans	85	F11G11.15;
A0A2C9C2X9	A0A2C9C2X9	unreviewed	A0A2C9C2X9_CAEEL	Uncharacterized protein	CELE_T01A4.9 T01A4.9	Caenorhabditis elegans	91	T01A4.9;
A0A2C9C2Z9	A0A2C9C2Z9	unreviewed	A0A2C9C2Z9_CAEEL	Uncharacterized protein	CELE_F28B12.1 F28B12.1	Caenorhabditis elegans	174	F28B12.1b;
A0A2C9C307	A0A2C9C307	unreviewed	A0A2C9C307_CAEEL	Uncharacterized protein	C27H5.12 CELE_C27H5.12	Caenorhabditis elegans	47	C27H5.12;
A0A2C9C347	A0A2C9C347	unreviewed	A0A2C9C347_CAEEL	Uncharacterized protein	CELE_F11A6.16 F11A6.16	Caenorhabditis elegans	39	F11A6.16;
A0A2C9C349	A0A2C9C349	unreviewed	A0A2C9C349_CAEEL	Serpentine Receptor, class D (Delta)	srd-8 B0547.4 CELE_B0547.4	Caenorhabditis elegans	318	B0547.4a;
A0A2C9C356	A0A2C9C356	unreviewed	A0A2C9C356_CAEEL	Uncharacterized protein	CELE_ZK938.12 ZK938.12	Caenorhabditis elegans	55	ZK938.12;
A0A2C9C396	A0A2C9C396	unreviewed	A0A2C9C396_CAEEL	Uncharacterized protein	C50E3.7 CELE_C50E3.7	Caenorhabditis elegans	382	C50E3.7a;
A0A2C9C3B1	A0A2C9C3B1	unreviewed	A0A2C9C3B1_CAEEL	Sugar transporter SWEET	swt-2 C54F6.4 CELE_C54F6.4	Caenorhabditis elegans	243	C54F6.4a;
A0A2C9C3C8	A0A2C9C3C8	unreviewed	A0A2C9C3C8_CAEEL	Uncharacterized protein	CELE_EGAP1.5 EGAP1.5	Caenorhabditis elegans	108	EGAP1.5b;
A0A2C9C3F7	A0A2C9C3F7	unreviewed	A0A2C9C3F7_CAEEL	Uncharacterized protein	CELE_T28C12.15 T28C12.15	Caenorhabditis elegans	99	T28C12.15;
A0A2C9C3I8	A0A2C9C3I8	unreviewed	A0A2C9C3I8_CAEEL	Uncharacterized protein	CELE_K05F1.14 K05F1.14	Caenorhabditis elegans	186	K05F1.14;
A0A2I2LDW9	A0A2I2LDW9	unreviewed	A0A2I2LDW9_CAEEL	Uncharacterized protein	CELE_ZC190.5 ZC190.5	Caenorhabditis elegans	314	ZC190.5b;
A0A2K5ATM1	A0A2K5ATM1	unreviewed	A0A2K5ATM1_CAEEL	Uncharacterized protein	C32E8.13 CELE_C32E8.13	Caenorhabditis elegans	67	C32E8.13;
A0A2K5ATN9	A0A2K5ATN9	unreviewed	A0A2K5ATN9_CAEEL	Uncharacterized protein	CELE_Y47D9A.7 Y47D9A.7	Caenorhabditis elegans	34	Y47D9A.7;
A0A2K5ATP2	A0A2K5ATP2	unreviewed	A0A2K5ATP2_CAEEL	Uncharacterized protein	CELE_F45H11.11 F45H11.11	Caenorhabditis elegans	57	F45H11.11;
A0A2K5ATQ9	A0A2K5ATQ9	unreviewed	A0A2K5ATQ9_CAEEL	Uncharacterized protein	CELE_F28A10.13 F28A10.13	Caenorhabditis elegans	61	F28A10.13;
A0A2K5ATW7	A0A2K5ATW7	unreviewed	A0A2K5ATW7_CAEEL	Protein kish	popl-7 CELE_Y62E10A.2 Y62E10A.2	Caenorhabditis elegans	78	Y62E10A.2;
A0A2K5ATX4	A0A2K5ATX4	unreviewed	A0A2K5ATX4_CAEEL	Uncharacterized protein	CELE_Y71H2AL.2 Y71H2AL.2	Caenorhabditis elegans	87	Y71H2AL.2;
A0A2K5ATY6	A0A2K5ATY6	unreviewed	A0A2K5ATY6_CAEEL	Nematode Specific Peptide family, group A	C04C11.25 CELE_C04C11.25	Caenorhabditis elegans	34	C04C11.25;
A0A2K5ATY9	A0A2K5ATY9	unreviewed	A0A2K5ATY9_CAEEL	Uncharacterized protein	C09B7.2 CELE_C09B7.2	Caenorhabditis elegans	164	C09B7.2d;
A0A2K5ATZ2	A0A2K5ATZ2	unreviewed	A0A2K5ATZ2_CAEEL	Uncharacterized protein	C03A3.9 CELE_C03A3.9	Caenorhabditis elegans	95	C03A3.9;
A0A2K5AU18	A0A2K5AU18	unreviewed	A0A2K5AU18_CAEEL	Uncharacterized protein	CELE_M02E1.4 M02E1.4	Caenorhabditis elegans	117	M02E1.4;
A0A2K5AU30	A0A2K5AU30	unreviewed	A0A2K5AU30_CAEEL	Uncharacterized protein	CELE_T23F2.13 T23F2.13	Caenorhabditis elegans	94	T23F2.13;
A0A2R8F5A2	A0A2R8F5A2	unreviewed	A0A2R8F5A2_CAEEL	PIG-P domain-containing protein	CELE_Y48E1B.17 Y48E1B.17	Caenorhabditis elegans	141	Y48E1B.17;
A0A2R8F5A8	A0A2R8F5A8	unreviewed	A0A2R8F5A8_CAEEL	Complex1_LYR_dom domain-containing protein	CELE_F53G2.12 F53G2.12	Caenorhabditis elegans	90	F53G2.12a;
A0A2X0RCX2	A0A2X0RCX2	unreviewed	A0A2X0RCX2_CAEEL	Uncharacterized protein	CELE_Y71H2AM.29 Y71H2AM.29	Caenorhabditis elegans	90	Y71H2AM.29;
A0A3B1DQV2	A0A3B1DQV2	unreviewed	A0A3B1DQV2_CAEEL	Uncharacterized protein	CELE_Y49F6A.12 Y49F6A.12	Caenorhabditis elegans	50	Y49F6A.12;
A0A3B1DZW5	A0A3B1DZW5	reviewed	SRB12_CAEEL	Serpentine receptor class beta-12 (Protein srb-12)	srb-12 F58A6.10	Caenorhabditis elegans	350	F58A6.10a [A0A3B1DZW5-2];F58A6.10b [A0A3B1DZW5-1];
A0A3B1E3W8	A0A3B1E3W8	unreviewed	A0A3B1E3W8_CAEEL	Uncharacterized protein	C37E2.10 CELE_C37E2.10	Caenorhabditis elegans	223	C37E2.10;
A0A3B1E4U6	A0A3B1E4U6	unreviewed	A0A3B1E4U6_CAEEL	Uncharacterized protein	CELE_Y49F6A.11 Y49F6A.11	Caenorhabditis elegans	159	Y49F6A.11;
A0A3B1E4W1	A0A3B1E4W1	unreviewed	A0A3B1E4W1_CAEEL	Uncharacterized protein	CELE_F53F8.6 F53F8.6	Caenorhabditis elegans	90	F53F8.6b;
A0A3B1E4W9	A0A3B1E4W9	unreviewed	A0A3B1E4W9_CAEEL	Uncharacterized protein	CELE_F38B7.17 F38B7.17	Caenorhabditis elegans	37	F38B7.17;
A0A3B1E543	A0A3B1E543	unreviewed	A0A3B1E543_CAEEL	Uncharacterized protein	C40C9.4 CELE_C40C9.4	Caenorhabditis elegans	109	C40C9.4a;
A0A3B1E639	A0A3B1E639	unreviewed	A0A3B1E639_CAEEL	Uncharacterized protein	C04F5.2 CELE_C04F5.2	Caenorhabditis elegans	346	C04F5.2b;
A0A3B1E8T2	A0A3B1E8T2	unreviewed	A0A3B1E8T2_CAEEL	Uncharacterized protein	CELE_F20D6.15 F20D6.15	Caenorhabditis elegans	203	F20D6.15;
A0A3B1E9Z0	A0A3B1E9Z0	unreviewed	A0A3B1E9Z0_CAEEL	Uncharacterized protein	CELE_ZK177.12 ZK177.12	Caenorhabditis elegans	36	ZK177.12;
A0A3B1E9Z2	A0A3B1E9Z2	unreviewed	A0A3B1E9Z2_CAEEL	Uncharacterized protein	CELE_Y14H12A.5 Y14H12A.5	Caenorhabditis elegans	188	Y14H12A.5;
A0A3P6NI67	A0A3P6NI67	unreviewed	A0A3P6NI67_CAEEL	Uncharacterized protein	CELE_F44F4.15 F44F4.15	Caenorhabditis elegans	125	F44F4.15a;
A0A3Q0PQY8	A0A3Q0PQY8	unreviewed	A0A3Q0PQY8_CAEEL	Seven TM Receptor	str-265 CELE_Y19D10A.13 Y19D10A.13	Caenorhabditis elegans	317	Y19D10A.13;
A0A486WTG7	A0A486WTG7	unreviewed	A0A486WTG7_CAEEL	Uncharacterized protein	CELE_Y38E10A.34 Y38E10A.34	Caenorhabditis elegans	251	Y38E10A.34;
A0A486WWW4	A0A486WWW4	unreviewed	A0A486WWW4_CAEEL	Uncharacterized protein	CELE_H12D21.9 H12D21.9	Caenorhabditis elegans	304	H12D21.9b;
A0A486WX37	A0A486WX37	unreviewed	A0A486WX37_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	frpr-15 CELE_K10C8.2 K10C8.2	Caenorhabditis elegans	444	K10C8.2b;
A0A486WXM4	A0A486WXM4	unreviewed	A0A486WXM4_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	CELE_R13H7.2 R13H7.2	Caenorhabditis elegans	459	R13H7.2i;
A0A486WYQ4	A0A486WYQ4	unreviewed	A0A486WYQ4_CAEEL	Uncharacterized protein	CELE_W08G11.3 W08G11.3	Caenorhabditis elegans	512	W08G11.3c;
A0A4V0IJ98	A0A4V0IJ98	unreviewed	A0A4V0IJ98_CAEEL	Uncharacterized protein	CELE_F31B9.7 F31B9.7	Caenorhabditis elegans	112	F31B9.7;
A0A4V0IJK1	A0A4V0IJK1	unreviewed	A0A4V0IJK1_CAEEL	Uncharacterized protein	CELE_ZC53.22 ZC53.22	Caenorhabditis elegans	54	ZC53.22;
A0A4V0IJT1	A0A4V0IJT1	unreviewed	A0A4V0IJT1_CAEEL	MFS domain-containing protein	CELE_Y59A8B.21 Y59A8B.21	Caenorhabditis elegans	506	Y59A8B.21b;
A0A4V0IJX9	A0A4V0IJX9	unreviewed	A0A4V0IJX9_CAEEL	Uncharacterized protein	C11E4.8 CELE_C11E4.8	Caenorhabditis elegans	309	C11E4.8a;
A0A4V0IK30	A0A4V0IK30	unreviewed	A0A4V0IK30_CAEEL	Uncharacterized protein	C31E10.11 CELE_C31E10.11	Caenorhabditis elegans	46	C31E10.11;
A0A4V0IK49	A0A4V0IK49	unreviewed	A0A4V0IK49_CAEEL	Uncharacterized protein	C24A3.1 CELE_C24A3.1	Caenorhabditis elegans	618	C24A3.1c;
A0A4V0IKT9	A0A4V0IKT9	unreviewed	A0A4V0IKT9_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	CELE_F18E9.8 F18E9.8	Caenorhabditis elegans	188	F18E9.8a;
A0A4V0IMA6	A0A4V0IMA6	unreviewed	A0A4V0IMA6_CAEEL	Uncharacterized protein	CELE_H03G16.7 H03G16.7	Caenorhabditis elegans	149	H03G16.7;
A0A4V0IMR4	A0A4V0IMR4	unreviewed	A0A4V0IMR4_CAEEL	Uncharacterized protein	CELE_Y71F9AL.25 Y71F9AL.25	Caenorhabditis elegans	151	Y71F9AL.25;
A0A5E4LWB2	A0A5E4LWB2	unreviewed	A0A5E4LWB2_CAEEL	Uncharacterized protein	CELE_R160.14 R160.14	Caenorhabditis elegans	79	R160.14;
A0A5E4LWC2	A0A5E4LWC2	unreviewed	A0A5E4LWC2_CAEEL	Uncharacterized protein	CELE_D1079.1 D1079.1	Caenorhabditis elegans	390	D1079.1d;
A0A5E4LZ95	A0A5E4LZ95	unreviewed	A0A5E4LZ95_CAEEL	Uncharacterized protein	CELE_R193.6 R193.6	Caenorhabditis elegans	57	R193.6;
A0A5E4LZB1	A0A5E4LZB1	unreviewed	A0A5E4LZB1_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	npr-38 CELE_T10E10.3 T10E10.3	Caenorhabditis elegans	385	T10E10.3a;
A0A5E4LZE3	A0A5E4LZE3	unreviewed	A0A5E4LZE3_CAEEL	Uncharacterized protein	CELE_Y7A5A.25 Y7A5A.25	Caenorhabditis elegans	66	Y7A5A.25;
A0A5E4LZP9	A0A5E4LZP9	unreviewed	A0A5E4LZP9_CAEEL	Uncharacterized protein	CELE_ZK380.2 ZK380.2	Caenorhabditis elegans	444	ZK380.2a;
